city,state,zip,year built,cooling type,garage type,sqft,price per sqft,buyers fee,listing price,housing category,HOA yearly
Salem,OR,97301,2022,Central air,2 Attached garage spaces,6285.0,288,2.5 ,479900,single family,0.0
Salem,OR,97301,2011,Central air,2 Garage spaces,,524,2.5 ,1450000,condominium,0.0
Salem,OR,97304,1979,No data,3 Attached garage spaces,6178.0,209,2.5 ,480000,single family,0.0
Salem,OR,97306,2023,No data,2 Attached garage spaces,10698.0,329,2.5 ,499900,single family,0.0
Salem,OR,97305,2019,No data,2 Attached garage spaces,5040.0,223,2.5 ,484000,single family,180.0
Salem,OR,97301,2023,Central Air,2 Attached Garage spaces,3696.0,236,2.50,439995,single family,420.0
Salem,OR,97306,2023,No data,2 Attached garage spaces,6209.0,279,2.5 ,529900,single family,0.0
Salem,OR,97302,1957,No data,2 Attached garage spaces,8232.0,203,2.25 ,599900,single family,0.0
Salem,OR,97306,2023,No data,2 Attached garage spaces,5860.0,206,2.5 ,599900,single family,0.0
Salem,OR,97306,2023,No data,2 Attached garage spaces,5546.0,279,2.5 ,539900,single family,0.0
Salem,OR,97302,2023,No data,1 Attached garage space,1200.0,243,2.5 ,362900,single family,1800.0
Corvallis,OR,97333,1917,No data,1 Carport space,,340,3 ,750000,single family,0.0
Corvallis,OR,97330,1940,No data,No garage,2613.0,516,3 ,349000,single family,0.0
Corvallis,OR,97330,1974,No data,2 Attached garage spaces,,316,2.25 ,950000,single family,0.0
Corvallis,OR,97333,1981,No data,1 Carport space,,335,2.5 ,380000,condominium,0.0
Corvallis,OR,97330,1924,Central air,2 Garage spaces,,377,2.5 ,649000,single family,0.0
Corvallis,OR,97333,1953,No data,1 Attached garage space,,595,2.5 ,709999,single family,0.0
Corvallis,OR,97330,2020,No data,Attached garage,2178.0,280,2.5 ,350000,single family,0.0
Corvallis,OR,97330,2002,Central air,2 Attached garage spaces,2178.0,270,2.5 ,430000,single family,2280.0
Corvallis,OR,97330,2016,Central air,3 Attached garage spaces,,350,2.5 ,1825000,single family,0.0
Corvallis,OR,97330,1990,Central air,2 Attached garage spaces,,319,2.70 ,958500,single family,0.0
Corvallis,OR,97330,2006,Central air,2 Attached garage spaces,8712.0,259,2.25 ,715700,single family,0.0
Corvallis,OR,97333,1935,No data,2 Garage spaces,,553,2.5 ,1350000,single family,0.0
Corvallis,OR,97330,1967,Central air,2 Attached garage spaces,,470,2.5 ,1200000,single family,0.0
Corvallis,OR,97333,2005,Central air,2 Attached garage spaces,4356.0,243,2.5 ,598000,single family,2004.0
